wallet,token_name,symbol,amount,decimals,mint
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3338.208729,6,H74oxtxM3oSF7u811cYeiRMowkJH1f1BiQ1HYpdDfBrL
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,9RxQeMi2MRjiFU2ZfPWirP8M242KMhoyW9SB1UvfVXhu
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,14939.655762113,9,57oQdWKVMjdhfbMgXRnDZPUyXHqMfY7Bo3sp4LVtGeWR
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,29338.129182928,9,CGMn2wEAWv3pF65GuQb69jGAmUEkxDGaJfWtP8wBB9ub
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,3.6e-05,6,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,139.475593,6,9Sb9dmXsaACSYHFdwvp6seM9Zwf95iHd8BxNc1fSpump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,107913.534643998,9,EpdN4v2AWuBZ1fxse3o9gLZeCmZ9F7BvkDeXrw7sDAmy
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,444.407814225,9,AAqZ6CECabwnYLm3FDqPrVQotXLPGQ3BJSfecYmXeJU5
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,0.0,6,4S9LSJX35A7rKDntgBup3vjYkiaVUKWa3PRDJm92pump
9JjQqHGuAXdk5UmEMvGeRuT2TtGvFdsexnE4wJeTwQp1,Unknown,N/A,19652.326892913,9,GvEp2N23Z2usBo8xdfHpedBR7ErTUYXyEnnvq3VhNziX
